id,username,password,school_id,role_id,status,created_date,modified_date,classroom_id,course_id,academic_year,is_delete,is_testdata
7,test1,5A2DUoO70Cm3UkFbrzOfwJTOYFif37xLL33BkKYFmQ/eK6NS+JZUorq3nib+JU4xg/San70bubMpOFGM/naQ6w==,3,2,0,"2015-09-22 12:37:40","0000-00-00 00:00:00",2,1,1,0,yes
8,student_1,+4BGgmtmbYLxR5vRgkZbBgKU4+NurCdP4mX6AIDbQ6E8txp3IrYdcFTaRNWlyOCtayYF3UE1lPFYTBQnRKoS0A==,3,2,1,"2015-09-26 09:18:05","0000-00-00 00:00:00",1,1,2015-2016,0,yes
9,student_2,+4BGgmtmbYLxR5vRgkZbBgKU4+NurCdP4mX6AIDbQ6E8txp3IrYdcFTaRNWlyOCtayYF3UE1lPFYTBQnRKoS0A==,4,2,1,"2015-09-26 09:18:05","0000-00-00 00:00:00",2,2,2015-2016,0,yes
10,student_3,+4BGgmtmbYLxR5vRgkZbBgKU4+NurCdP4mX6AIDbQ6E8txp3IrYdcFTaRNWlyOCtayYF3UE1lPFYTBQnRKoS0A==,5,2,0,"2015-09-26 09:18:05","0000-00-00 00:00:00",3,3,2015-2016,0,yes
11,student_4,+4BGgmtmbYLxR5vRgkZbBgKU4+NurCdP4mX6AIDbQ6E8txp3IrYdcFTaRNWlyOCtayYF3UE1lPFYTBQnRKoS0A==,8,2,0,"2015-09-26 09:18:05","0000-00-00 00:00:00",4,4,2015-2016,0,yes
12,student_5,+4BGgmtmbYLxR5vRgkZbBgKU4+NurCdP4mX6AIDbQ6E8txp3IrYdcFTaRNWlyOCtayYF3UE1lPFYTBQnRKoS0A==,9,2,0,"2015-09-26 09:18:05","0000-00-00 00:00:00",3,5,2015-2016,0,yes
18,6AKPL0J892,J1yA3xENG+oerzhknT7Ax9fPSrQmvCvyB7uVFvzLzq76hYts4+euoO8VKK2bj6cxJyYjqs5Xf+HQJxYJTylnjw==,4,3,1,"2015-09-26 08:30:41","0000-00-00 00:00:00",5,2,,0,yes
19,EWD576I0TJ,u/wea0kkcAVMX3WU1m3ZTu4e9Jewktr0WTp9vSjY4zv3g/FBcl/DYF3mojsJsoIgRkh7J+1+Euc6EnG6VouHVg==,4,3,1,"2015-09-26 08:30:41","0000-00-00 00:00:00",5,2,,0,yes
20,9MXHTN7Q54,TOuygIV6MczpIflxR151ZWnEu8snLp/qgdPU2XUwIaFWJ84YNllV0Oer0Zs6B9cseQSgDj9JVUdB0T0mI0I5+g==,4,3,1,"2015-09-26 08:30:41","0000-00-00 00:00:00",5,2,,0,yes
21,GVSY8KMX1O,Cw4noKxogLCLvBRcOEsQXDxnSpMxq1gF1Q2qjOjNyO/WMW6Ot6kmszhOUnlg+Et7TiM8+U/kSWGHpgrd9adI7Q==,13,3,1,"2015-09-26 08:30:59","0000-00-00 00:00:00",6,4,,0,yes
22,Q6XKYDW843,CIqDxPr+DRqeMigwQyXAfjToaqbL2Hlug6shbt9dqy/0aL8aqjpNXKyVa+/EgYUs4uhvE75sOB08UW5vN8Lfsw==,13,3,1,"2015-09-26 08:31:00","0000-00-00 00:00:00",6,4,,0,yes
23,L2K46GUVQF,afQhnkVGaaun/fV9oNVxSjeiM3aIgFCGz+S50U+Nd6MoAIe5sQEKjjn3hK3J3zWD4PIEb5vz/znzIkSlH+3EsQ==,8,3,1,"2015-09-26 08:34:09","0000-00-00 00:00:00",4,5,,0,yes
24,QA2G3O7FVI,qKD41DmCN3yES87LWXwouoKlXWzXokElWKqF/wM68QIQ0BR1deQZ/3JWLH5D/X0Fnm/aCAHZn9kTg+RkzDWU9A==,8,3,1,"2015-09-26 08:34:09","0000-00-00 00:00:00",4,5,,0,yes
25,Z2MTR3QIBA,29XVS5tqdFypSN/clbNDf+j5dSg8uAjeUOZyd+HANr7o8P3IywEXL2FFc82q5VoCZocab3p8q/hPr2VshgDoFQ==,8,3,1,"2015-09-26 08:34:09","0000-00-00 00:00:00",4,5,,0,yes
